무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복사골경로당,37.482801,126.80653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대허니문경로당,37.477668,126.805899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
풍림경로당,37.465134,126.801396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양우아파트경로당,37.469593,126.79773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소사SK뷰(아) 경로당,37.477067,126.799928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주공2단지경로당,37.473734,126.802683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주공3단지경로당,37.473751,126.805283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뜨란채4단지경로당,37.470909,126.803113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조공2차경로당,37.477792,126.804823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
염광경로당,37.476215,126.804814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼익세라믹(아)경로당,37.4756604,126.8015955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼익3차경로당,37.477317,126.803237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산우물여경로당,37.485201,126.771643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대우경로당,37.48086,126.769227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중동역푸르지오1차경로당,37.484837,126.765272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중동역푸르지오2차경로당,37.485282,126.767334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우방유쉘아파트경로당,37.483133,126.769495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내4통 경로당,36.1890648,127.1007914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내5통 경로당,36.1883448,127.0998095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내6통 경로당,36.1878735,127.0980767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내7통 경로당,36.1869836,127.0970906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안석1통경로당,37.1723606,126.8275017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온석2통경로당,37.1691637,126.8479089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남부1마을회관 정자,35.3407868,129.038421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소반 경로당,36.5553283,126.6495969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
