무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호산마을회관,35.098281,128.431206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정달마을회관,35.098167,128.4390076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창포마을회관,35.09754,128.4467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시락경로당,35.072072,128.4400358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광명역세권휴머니아4단지경로당,37.4310579,126.8822147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미도2차아파트 경로당,37.4364628,126.8767016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미도3차아파트 경로당,37.434307,126.8770964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마산1리 경로당,37.2302448,126.6980289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마산2리 경로당,37.2355768,126.6872086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남구청 민원실,35.846191,128.5981606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉덕2동행정복지센터,35.8438647,128.6011167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGB대구은행 효성타운지점,35.8383,128.6035106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명장2동할아버지경로당,35.2138401,129.1024337,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곤양경로당,35.0568814,127.9597919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
묵곡경로당,35.09786,127.985391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼동경로당,35.057829,127.961994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고포3리 경로당,37.2334938,126.6709156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고포4리 경로당,37.2468129,126.6535045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
독지1리 경로당,37.2474973,126.7002343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
독지2리 경로당,37.25288,126.6923528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명장2동 주민센터,35.2107333,129.1032176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아림파크경로당,35.21,129.10187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마점경로당,34.57046,126.739529,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신덕경로당,34.613074,126.691827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석산경로당,35.3170973,128.660299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도덕파크타운아파트 경로당,37.4701635,126.8646038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브라운스톤1차 아파트,37.4729248,126.8642318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대평할머니 경로당,35.295444,127.319238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유목경로당,35.3693605,128.6819424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일동경로당,35.3705725,128.6849351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일동부인경로당,35.3705725,128.6849351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈전경로당,35.3680444,128.6808474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈전부인경로당,35.366735,128.6822082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신전경로당,35.3703205,128.6745675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북모산경로당,35.3593669,128.7144591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남모산경로당,35.3562901,128.7122678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송등경로당,35.3505793,128.7135953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북가술경로당,35.3400435,128.7084809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북가술제2경로당,35.3415401,128.7094814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남가술경로당,35.3386044,128.7080622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상포부녀노인회 경로당,35.325666,128.7131205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우암마을경로당,35.3415798,128.7277727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
귀산경로당,34.765479,127.285834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송림경로당,34.7377197,127.2827909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송림여경로당,34.737259,127.282568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선경경로당,37.4352964,126.8809938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파초1리(남성) 경로당,36.1306416,127.4650285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파초1리(여성) 경로당,36.1306438,127.4650392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계치경로당,34.50866,126.814608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벌국경로당,34.5803248,126.719332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회룡경로당2,34.586457,126.6923143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만덕경로당,34.5746962,126.7497155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
점골경로당,35.7776078,128.1427668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야천2구경로당,35.7694846,128.1359881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석사할아버지경로당,35.203368,129.0614729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석사할머니경로당,35.203368,129.0614729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노하2리 경로당,37.1573443,126.8631291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노하3리 경로당,37.1594227,126.8581217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕우리경로당,37.1372855,126.8640146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매곡리경로당,37.1176669,126.8866209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보동경로당,34.574309,126.747317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진성면사무소,35.1849321,128.2234472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다사농협(서재지점),35.8628961,128.4619737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장안5리 경로당,37.0357031,126.8442521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장안6리 경로당,37.0509944,126.8577844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장안7리 경로당,37.0526005,126.8659077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장안4리 경로당,37.0364086,126.8373245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉계마을회관,34.759113,127.2806776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
귤동경로당,34.577081,126.748682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉덕1동행정복지센터,35.8452522,128.5964279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGB대구은행 봉덕동지점,35.8440271,128.6042314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
난산경로당,34.503186,126.808871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청용경로당,34.504618,126.817083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기마을여성회관,34.7407331,127.2644126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노곡1구경로당,35.602201,127.9893471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양지2구경로당,35.5874682,128.0029761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양지1구경로당,35.5958363,128.0034725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오일1리 노인회,37.1723422,126.9689433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무동 휴먼빌 2단지아파트 경로당,35.320318,128.583467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가촌경로당,35.3397275,128.7005844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장등경로당,35.3328357,128.7026095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신동경로당,35.3253764,128.6958442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신등경로당,35.3240522,128.697647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백양경로당,35.3304047,128.6890299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남가술부인경로당,35.337556,128.7085139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이천어울림도서관,35.8523786,128.5987383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH농협은행 봉덕동지점,35.8447058,128.6041144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세실할머니경로당,35.2132534,129.0988943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새마을경로당,37.4540553,126.8889594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
휴먼시아5단지 경로당,37.4516014,126.8874955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직삼환나우빌경로당,35.2029972,129.0564275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유원경로당,35.2069413,129.0562639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직2동 주민센터,35.1992,129.0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
