head__totalCount,head__numOfRows,head__pageNo,head__type,head__RESULT__resultCode,head__RESULT__resultMsg,row__restSeqNo,row__year,row__areaCd,row__equptype,row__restname,row__restaddr,row__creDttm,row__updtDttm,row__useYn,row__areaNm,row__operBeginDe,row__operEndDe,row__ar,row__usePsblNmpr,row__colrHoldElefn,row__colrHoldArcndtn,row__chckMatterNightOpnAt,row__chckMatterWkendHdayOpnAt,row__chckMatterStayngPsblAt,row__rm,row__dtlAdres,row__mngdpt_cd,row__mngdptCd,row__xcord,row__ycord,row__la,row__lo
4,3,1,XML,INFO-0,NOMAL SERVICE,11110041,2022,1111064000,1,6.25참전 유공자 경로당,서울특별시 종로구 율곡로19길 17-3,2021-03-11 16:17,2022-05-19 18:03,Y,서울특별시 종로구 이화동,20220520,20220930,26,8,0,1,N,N,N,null,13-10,3000209,02-2148-2202,0.00E+00,0.00E+00,37.576601,127.005542
,,,,,,11110043,2022,1111064000,1,마로니에경로당,서울특별시 종로구 낙산1길 21,2021-03-11 16:17,2022-05-19 18:03,Y,서울특별시 종로구 이화동,20220520,20220930,100,30,4,3,N,N,N,null,129-77,3000209,02-2148-2202,0.00E+00,0.00E+00,37.5811836,127.0057153
,,,,,,11110044,2022,1111064000,1,이화경로당,서울특별시 종로구 이화장1나길 15,2021-03-11 16:17,2022-05-19 18:03,Y,서울특별시 종로구 이화동,20220520,20220930,175,52,4,2,N,N,N,null,9-264,3000209,02-2148-2202,0.00E+00,0.00E+00,37.5776824,127.0067445
