무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남천면사무소,35.7666,128.7268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외죽고경로당,35.5660188,128.300565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
적중경로당,35.5473364,128.2809725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
할머니경로당,35.5450947,128.2792054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
횡보경로당,35.5706317,128.2936709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반곡1리 경로당,36.1866722,127.2089772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반곡2리 경로당,36.1876767,127.1956386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명암1리 경로당,36.1952061,127.2114962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명암2리 경로당,36.1938629,127.2075328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상부경로당,35.5384761,128.2669736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시동경로당,35.5463393,128.3026482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상봉 1리 경로당,37.165123,127.510014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상봉 2리 경로당,37.162798,127.510181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상봉 3리 경로당,37.161901,127.502886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월호경로당,34.491889,126.505808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율동경로당,34.506909,126.486727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신풍경로당,34.5176353,126.5094579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만안경로당,34.49334,126.58331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성묘경로당,34.44743,126.55156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일평경로당,34.45835,126.55242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
탑동경로당,34.45789,126.56085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초호경로당,34.42666,126.55959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남악경로당,36.0170412,127.7819195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
철파 숲,36.360664,128.681642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용호마을e-편한(아) 세상 경로당,37.3436417,126.9366901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무지개대림(아)경로당,37.3494005,126.9392307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여수경로당,34.649463,126.61897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용계경로당,34.651658,126.622159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사정경로당,34.650193,126.604639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌경로당,34.646188,126.601963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
증포 3통 경로당,37.289121,127.4475326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상봉 4리 경로당,37.156469,127.50561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수산 1리 경로당,37.148721,127.502289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수산 2리 경로당,37.140443,127.497863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수산 3리 경로당,37.136767,127.493012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대죽 2리 경로당,37.135813,127.487685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대죽 3리 경로당,37.135152,127.4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대죽 4리 경로당,37.128185,127.483826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대죽 1리 경로당,37.1369648,127.4909689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석산 3리 경로당,37.052951,127.540961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하석파 경로당,37.0130345,127.3656544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상석파 경로당,37.0169319,127.3681729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조령 경로당,37.0210654,127.3676555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원오 경로당,36.9844921,127.305503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산양 2리 경로당,37.057235,127.527492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산양 1리 경로당,37.063501,127.511758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남창경로당,34.40552,126.629312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영전여자경로당,34.339195,126.596232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서홍경로당,34.375148,126.612718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차경경로당,34.417374,126.633316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산마경로당,34.394459,126.605933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평암경로당,34.358209,126.589763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용수경로당,34.429414,126.646562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오산여자경로당,34.413859,126.643768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남창여자경로당,34.405547,126.629322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이진여자경로당,34.398385,126.618292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
